dt_index,date,time,lastPx,size,volume,SP5,SP4,SP3,SP2,SP1,BP1,BP2,BP3,BP4,BP5,SV5,SV4,SV3,SV2,SV1,BV1,BV2,BV3,BV4,BV5,realRtn
2024-01-05 13:25:00,2024-01-05,132459980.0,36.55,0.0,28557000.0,36.59,36.58,36.57,36.56,36.55,36.54,36.53,36.52,36.51,36.5,2052000.0,2121000.0,1638000.0,637000.0,388000.0,82000.0,92000.0,647000.0,901000.0,3290000.0,-0.0030005455537370773
2024-01-15 13:25:00,2024-01-15,132459881.0,36.4,0.0,56996000.0,36.45,36.44,36.43,36.42,36.41,36.38,36.37,36.36,36.35,36.34,739000.0,976000.0,1281000.0,93000.0,10000.0,313000.0,164000.0,707000.0,695000.0,203000.0,-0.0032858707557503752
2024-01-16 13:25:00,2024-01-16,132459927.0,36.3,2000.0,123936000.0,36.34,36.33,36.32,36.31,36.3,36.29,36.28,36.27,36.26,36.25,50000.0,666000.0,637000.0,741000.0,409000.0,9000.0,34000.0,1360000.0,1764000.0,2457000.0,0.0027624309392264568
2024-01-22 13:25:00,2024-01-22,132459794.0,36.11,0.0,29103000.0,36.16,36.15,36.14,36.13,36.12,36.11,36.1,36.09,36.08,36.07,134000.0,527000.0,110000.0,183000.0,439000.0,379000.0,68000.0,70000.0,550000.0,90000.0,0.006690827989963788
2024-01-29 13:25:00,2024-01-29,132459982.0,36.26,0.0,21580000.0,36.32,36.31,36.3,36.29,36.28,36.27,36.26,36.25,36.24,36.23,223000.0,253000.0,1083000.0,764000.0,107000.0,12000.0,4000.0,66000.0,639000.0,1172000.0,0.004988913525498795
2024-02-01 13:25:00,2024-02-01,132459675.0,36.29,4000.0,11497000.0,36.34,36.33,36.32,36.31,36.3,36.29,36.28,36.27,36.26,36.25,120000.0,302000.0,151000.0,402000.0,812000.0,22000.0,203000.0,112000.0,156000.0,661000.0,0.002209334438000532
2024-02-02 13:25:00,2024-02-02,132459904.0,36.45,0.0,27549000.0,36.5,36.49,36.48,36.47,36.46,36.45,36.44,36.43,36.42,36.41,1156000.0,131000.0,790000.0,117000.0,77000.0,35000.0,63000.0,52000.0,96000.0,80000.0,0.0002744237102088043
2024-02-20 13:25:00,2024-02-20,132459916.0,37.41,0.0,37255000.0,37.46,37.45,37.44,37.43,37.42,37.41,37.4,37.39,37.38,37.37,888000.0,1554000.0,640000.0,579000.0,69000.0,23000.0,183000.0,682000.0,660000.0,58000.0,0.005374899220639495
2024-02-26 13:25:00,2024-02-26,132459919.0,37.67,0.0,24085000.0,37.71,37.7,37.69,37.68,37.67,37.66,37.65,37.64,37.63,37.62,63000.0,568000.0,120000.0,220000.0,25000.0,386000.0,143000.0,86000.0,589000.0,658000.0,0.0023948908994146922
2024-03-01 13:25:00,2024-03-01,132459354.0,37.76,0.0,16281000.0,37.8,37.79,37.78,37.77,37.76,37.74,37.73,37.72,37.71,37.7,1739000.0,198000.0,124000.0,131000.0,95000.0,48000.0,62000.0,58000.0,55000.0,416000.0,0.0015915119363394403
2024-03-04 13:25:00,2024-03-04,132457688.0,38.01,0.0,38277000.0,38.05,38.04,38.03,38.02,38.01,38.0,37.99,37.98,37.97,37.96,301000.0,639000.0,390000.0,318000.0,738000.0,436000.0,50000.0,94000.0,124000.0,62000.0,0.0029023746701846154
2024-03-05 13:25:00,2024-03-05,132459501.0,38.17,2000.0,26510000.0,38.21,38.2,38.19,38.18,38.17,38.16,38.15,38.14,38.13,38.12,32000.0,1081000.0,122000.0,772000.0,33000.0,13000.0,565000.0,82000.0,587000.0,591000.0,0.004473684210526407
2024-03-11 13:25:00,2024-03-11,132459916.0,38.44,1000.0,24725000.0,38.49,38.48,38.47,38.46,38.45,38.44,38.43,38.42,38.41,38.4,35000.0,105000.0,32000.0,73000.0,1023000.0,62000.0,62000.0,48000.0,57000.0,700000.0,-0.0002600780234071065
2024-03-12 13:25:00,2024-03-12,132459672.0,38.97,0.0,22546000.0,39.02,39.01,39.0,38.99,38.98,38.97,38.96,38.95,38.94,38.93,64000.0,47000.0,2022000.0,300000.0,71000.0,409000.0,2000.0,1084000.0,1000000.0,1031000.0,0.013260530421216776
